PG.ProteinGroups,[1] yanliu_20180406_Phos_Cyc_1.raw.PG.NrOfPrecursorsUsedForQuantification,[2] yanliu_20180406_Phos_Cyc_2.raw.PG.NrOfPrecursorsUsedForQuantification,[3] yanliu_20180406_Phos_Cyc_3.raw.PG.NrOfPrecursorsUsedForQuantification,[4] yanliu_20180406_Phos_Cyc_4.raw.PG.NrOfPrecursorsUsedForQuantification,[5] yanliu_20180406_Phos_Cyc_5.raw.PG.NrOfPrecursorsUsedForQuantification,[6] yanliu_20180406_Phos_Cyc_6.raw.PG.NrOfPrecursorsUsedForQuantification,[7] yanliu_20180406_Phos_Cyc_7.raw.PG.NrOfPrecursorsUsedForQuantification,[8] yanliu_20180406_Phos_Cyc_8.raw.PG.NrOfPrecursorsUsedForQuantification,[9] yanliu_20180406_Phos_Cyc_9.raw.PG.NrOfPrecursorsUsedForQuantification,[10] yanliu_20180406_Phos_Cyc_10.raw.PG.NrOfPrecursorsUsedForQuantification,[11] yanliu_20180406_Phos_Noco_1.raw.PG.NrOfPrecursorsUsedForQuantification,[12] yanliu_20180406_Phos_Noco_2.raw.PG.NrOfPrecursorsUsedForQuantification,[13] yanliu_20180406_Phos_Noco_3.raw.PG.NrOfPrecursorsUsedForQuantification,[14] yanliu_20180406_Phos_Noco_4.raw.PG.NrOfPrecursorsUsedForQuantification,[15] yanliu_20180406_Phos_Noco_5.raw.PG.NrOfPrecursorsUsedForQuantification,[16] yanliu_20180406_Phos_Noco_6.raw.PG.NrOfPrecursorsUsedForQuantification,[17] yanliu_20180406_Phos_Noco_7.raw.PG.NrOfPrecursorsUsedForQuantification,[18] yanliu_20180406_Phos_Noco_8.raw.PG.NrOfPrecursorsUsedForQuantification,[19] yanliu_20180406_Phos_Noco_9.raw.PG.NrOfPrecursorsUsedForQuantification,[20] yanliu_20180406_Phos_Noco_10.raw.PG.NrOfPrecursorsUsedForQuantification,[1] yanliu_20180406_Phos_Cyc_1.raw.PG.Quantity,[2] yanliu_20180406_Phos_Cyc_2.raw.PG.Quantity,[3] yanliu_20180406_Phos_Cyc_3.raw.PG.Quantity,[4] yanliu_20180406_Phos_Cyc_4.raw.PG.Quantity,[5] yanliu_20180406_Phos_Cyc_5.raw.PG.Quantity,[6] yanliu_20180406_Phos_Cyc_6.raw.PG.Quantity,[7] yanliu_20180406_Phos_Cyc_7.raw.PG.Quantity,[8] yanliu_20180406_Phos_Cyc_8.raw.PG.Quantity,[9] yanliu_20180406_Phos_Cyc_9.raw.PG.Quantity,[10] yanliu_20180406_Phos_Cyc_10.raw.PG.Quantity,[11] yanliu_20180406_Phos_Noco_1.raw.PG.Quantity,[12] yanliu_20180406_Phos_Noco_2.raw.PG.Quantity,[13] yanliu_20180406_Phos_Noco_3.raw.PG.Quantity,[14] yanliu_20180406_Phos_Noco_4.raw.PG.Quantity,[15] yanliu_20180406_Phos_Noco_5.raw.PG.Quantity,[16] yanliu_20180406_Phos_Noco_6.raw.PG.Quantity,[17] yanliu_20180406_Phos_Noco_7.raw.PG.Quantity,[18] yanliu_20180406_Phos_Noco_8.raw.PG.Quantity,[19] yanliu_20180406_Phos_Noco_9.raw.PG.Quantity,[20] yanliu_20180406_Phos_Noco_10.raw.PG.Quantity
O75417,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,128516.8984375,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
O75420,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1674318.125,2215177,1830148,2042900.5,1769039.5,1866002.375,1709098.25,1672784.375,1550603.75,1825781,784969.125,807756.4375,776459.3125,745332.625,806652.8125,761014.3125,748703.375,720495.4375,825851.0625,605247.0625
O75425,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,293215,434773.4375,367908.75,500462.625,367488.65625,410551.5,453703.15625,250986.140625,271260.5,357791.90625
O75427,4,4,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3,3,3,4,285978.65625,245437.453125,419685.15625,496082.84375,141988.96875,358158.3125,122572.09375,556241.625,197902.40625,121430.9296875,491683.15625,609996.1875,467189.28125,484617,526992.9375,581629.75,762699.25,499570.25,501901.125,546798.75
O75431,2,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,1,2,2,509572.25,469264.84375,489199.21875,333103.125,469968.375,468664.28125,333229.21875,395366.78125,301297.65625,741566.875,227304.28125,349552.5625,261511.546875,290435.6875,414861.71875,261214.875,482334.65625,289358.125,438435.5,303304.8125
O75436,3,2,1,2,1,1,2,3,3,2,2,2,3,2,2,2,2,3,2,3,115204.3203125,293574.34375,386796.15625,198582.390625,440751.09375,497582.6875,251816.6875,150177.875,157880.828125,237830,1632410.875,2332645,1347583.5,2492942,1959849,2263611,1884813.25,1369822.125,2119794.5,1268199
O75439,3,1,3,3,2,3,3,2,3,3,3,1,2,3,3,4,3,3,3,3,210878.03125,180258.6875,390981.5,446238.09375,171891.171875,347793.46875,218156.421875,128509.1875,278316.96875,302569.71875,239545.953125,162228.015625,309952.15625,149034.515625,314184.09375,420702.96875,228758.0625,219190.28125,172633.984375,203680.125
O75448,2,4,4,4,3,1,3,3,2,4,1,3,3,3,3,2,3,4,4,3,408253.375,336264.375,310614,375572.1875,506669.03125,833095.125,509200.1875,467657.625,536581.25,328407.03125,1190077,417218.46875,407921.875,404270.28125,738911.5,728515.9375,594998,338431.1875,365778.84375,339796.1875
O75449,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,91496.328125,108829.5390625,94483.2265625,103986.0625,108723.5546875,104683.1171875,93996.765625,103275.078125,112819.9765625,97064.125,395054.25,372180.4375,325043,405369.71875,420177.125,405515.75,357268.875,309734,490643.4375,324185.8125
O75461,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,122335.9375,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
O75467;Q6AW86,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,1,1,1,Filtered,1,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,42782.4375,Filtered,24857.009765625,27200.349609375,27859.990234375,Filtered,25038.32421875,Filtered,Filtered,25833.3828125
O75475,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,1997079,1930263.375,1853245.875,1963262.5,1563807,2085266.625,1686012,1713443.875,1243356.125,1675793.25,916034.1875,1148086,933641.3125,1346637.75,1216921.25,1045222.875,831178,803834.75,883720.6875,765671
O75477,3,2,3,2,3,1,3,3,3,2,2,2,3,2,2,1,3,3,1,3,149572.78125,240728.703125,134195.375,121412.5546875,170404.421875,313520.53125,121389.046875,135420.1875,150565.203125,157430.671875,113624.140625,165410.796875,110967.9609375,144236.0625,151706.328125,193092.96875,109267.609375,88491.390625,289115.875,104384.546875
O75487,2,2,2,2,2,2,2,2,2,2,Filtered,Filtered,Filtered,2,1,Filtered,Filtered,1,Filtered,2,26752.2421875,13388.580078125,39420.52734375,35483.3125,22939.68359375,29128.109375,22095.85546875,17851.197265625,17409.474609375,20044.62890625,Filtered,Filtered,Filtered,12795.80859375,13135.16015625,Filtered,Filtered,19319.912109375,Filtered,13383.822265625
O75494,7,7,7,7,6,6,7,7,7,7,7,7,6,7,7,6,7,7,7,7,4355760.5,4352803.5,3823718,4510132.5,4566355,4497956.5,3433783,3926205,3200250,3727917.75,2524591.5,3195064.75,2857316,3165253.5,3210269.5,3163834,2215198.75,2537220.25,2506020.25,2233055.5
O75496,2,Filtered,2,1,2,1,2,1,1,1,1,1,2,2,2,3,2,3,2,2,195153.84375,Filtered,172322.3125,260849.078125,152480.59375,67100.9140625,122588.6953125,63956.2578125,40647.83203125,49845.8125,1764079.5,1493984.5,851313.75,971635.375,1330400.75,644683.25,1206532.875,632282.8125,842827.6875,1033439.625
O75506,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,4,145435.3125,85725.578125,186114.125,101696.203125,84081.890625,134893.4375,97101.1328125,104390.1640625,156726.71875,122614.21875,72400.8828125,58681.1953125,90595.296875,82592.265625,139278.046875,90112.9453125,96110.515625,92654.609375,41158.3828125,85736.84375
O75521,1,1,Filtered,Filtered,1,1,1,1,Filtered,Filtered,1,1,Filtered,1,Filtered,Filtered,Filtered,Filtered,1,1,839850.1875,434940,Filtered,Filtered,466646.0625,936439.375,435162.78125,635185.125,Filtered,Filtered,501921.1875,283109.78125,Filtered,335741.75,Filtered,Filtered,Filtered,Filtered,227450.578125,358313.625
O75528,Filtered,1,1,1,Filtered,1,1,2,Filtered,1,1,Filtered,1,2,1,1,1,Filtered,1,1,Filtered,17732.349609375,12690.5009765625,14246.6357421875,Filtered,16407.849609375,17578.140625,36145.8203125,Filtered,8317.8740234375,205297.328125,Filtered,182584.09375,90453.59375,226756.859375,177009.421875,235688.625,Filtered,195223.046875,244477.40625
O75529,Filtered,1,1,Filtered,1,Filtered,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,20461.869140625,18799.0703125,Filtered,15988.4091796875,Filtered,16138.3212890625,17941.0703125,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
O75530,2,2,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,900392.8125,754471.75,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
O75531,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,32404.427734375,44351.296875,34337.93359375,32011.84375,29856.484375,79922.7421875,37008.3984375,157726.140625,118040.3125,161952.015625,95431.0625,95510.1171875,35468.62109375,112233.6953125,49241.43359375,91567.90625,151561.359375,79692.1484375,30416.6328125,35456.046875
O75533,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1683529.5,1994580.625,1483045.875,1562482.375,1857359.375,1531874.75,1412854,1285985.125,1028677.4375,1307624.375,2874506.5,3369486.25,2579124.75,2869960,3195171.5,2538785.5,2824691.5,2346007.75,3068448.5,2344466.5
O75534,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,182832.296875,257795.21875,277979.5,148596.734375,238574.15625,239350.390625,220229.5625,202522.09375,190854.46875,195435.59375,145977.625,202102.21875,159789.3125,172438.5625,162544.578125,141072.671875,137284.578125,183940.984375,173601.03125,168924.796875
O75564,1,1,1,1,1,Filtered,1,2,1,1,2,1,1,1,1,1,1,Filtered,1,1,157612.5,156973.25,189127.734375,183999.765625,209442.53125,Filtered,120020.390625,113859.109375,147158.953125,193364.734375,310645.8125,244596.71875,228698.53125,254142.359375,275541.71875,316622.15625,310545.46875,Filtered,272079.625,267942.84375
O75569,2,3,2,2,3,3,2,3,2,3,3,1,2,2,1,2,3,2,3,3,3655456,2554488.5,3889797.25,4078284,2181149.5,2658604,4150441.5,1999285.875,3534822.25,2345871.75,1703589.875,6653343.5,3563646.25,3560366,6538809.5,3572304.5,1690832.5,3072040.25,2072460.75,1505673.25
O75575,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,169208.796875,143481.1875,120271.5,146116.625,166361.203125,163343.5,147015.328125,148869.765625,153580.5,131940.78125
O75581,1,1,1,Filtered,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,Filtered,1,1,1,114677.390625,172991.84375,116484.5234375,Filtered,144642.390625,132419.5,68940.15625,111411.546875,77460.375,81417.6171875,52876.73828125,82597.4296875,32010.408203125,51836.984375,Filtered,Filtered,Filtered,45553.41015625,59358.7421875,37213.46875
O75586,1,Filtered,1,1,Filtered,1,1,Filtered,1,1,1,Filtered,Filtered,1,Filtered,Filtered,Filtered,1,Filtered,1,32670.7734375,Filtered,58474.89453125,54961.96484375,Filtered,28738.712890625,23942.021484375,Filtered,31111.96484375,27548.1484375,31839.1640625,Filtered,Filtered,23144.6328125,Filtered,Filtered,Filtered,20382.56640625,Filtered,19588.189453125
O75592,4,5,3,4,4,4,4,5,4,4,4,3,4,3,3,4,4,3,3,3,213730.546875,256292.890625,292016.5625,236287.0625,277117.03125,240364.046875,227086.953125,204664.25,175788.578125,206143.375,197581.828125,281286.75,259838.28125,300350.09375,287233.53125,205734.546875,202306.09375,215105.796875,230679.21875,243627.546875
O75607,Filtered,1,Filtered,Filtered,1,Filtered,Filtered,1,1,Filtered,1,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,1,Filtered,Filtered,19817.74609375,Filtered,Filtered,58989.0546875,Filtered,Filtered,21266.384765625,23246.078125,Filtered,17592.328125,Filtered,Filtered,Filtered,Filtered,31058.380859375,Filtered,Filtered,10187.6279296875,Filtered
O75608,1,Filtered,1,1,Filtered,1,1,Filtered,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,24704.140625,Filtered,34053.21875,34255.046875,Filtered,25811.6171875,18369.724609375,Filtered,20786.458984375,21530.62109375,14204.0126953125,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,18532.953125,Filtered,Filtered
O75616,Filtered,Filtered,Filtered,Filtered,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,Filtered,Filtered,1,1,1,1,Filtered,Filtered,Filtered,Filtered,80750.21875,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,163192.1875,173276.859375,150683.0625,Filtered,Filtered,213206.703125,169557.265625,147311.265625,195841.09375
O75629,1,1,1,1,1,1,1,Filtered,1,1,1,1,Filtered,1,1,1,1,1,1,1,90671.375,40761.66796875,164033.6875,240981.75,83535.3515625,94635.1328125,76619.9765625,Filtered,114702.4140625,80778.2109375,47807.203125,16343.47265625,Filtered,31982.03125,42388.734375,34157.33203125,14171.9404296875,39400.73828125,29692.986328125,52465.5859375
O75643,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8909244,10197301,7284738.5,8262075.5,7085697,8560961,5271065,7497267.5,4254046,7449654.5,4379137,6838381,6001158.5,5223966.5,6513798,5281345.5,4086922.75,4164163,4862755.5,3826070.25
O75665,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,148495.53125,162293.953125,130607.921875,151564.21875,150085.34375,152454.4375,192817.203125,106642.484375,113410.109375,162073.3125,186151.359375,196910.765625,140821.84375,133909.28125,157539.21875,142117.84375,141301.78125,132617.390625,139216.625,105841.8125
O75676,1,1,1,Filtered,1,Filtered,1,1,Filtered,Filtered,2,1,1,1,1,2,2,Filtered,2,2,10629.5966796875,25244.302734375,8107.0341796875,Filtered,9608.640625,Filtered,14538.115234375,19933.234375,Filtered,Filtered,84579.3359375,35838.16796875,24483.5078125,35439.94921875,19821.833984375,118688.75,117538.34375,Filtered,138999.4375,93212.015625
O75683,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1429682.5,1839177.25,1322402.5,1426664.75,1825485.125,1353755.875,1423208.875,1278617.75,1093381.125,1222979.75,1983007.375,2353296.25,1761149.875,1981177,1771914.5,1924031.5,1698492.125,1622535.5,1897539.75,1614723.5
O75691,4,5,4,4,5,4,4,5,4,4,5,4,4,4,4,4,4,4,5,4,1177756.75,952036.125,1313839.25,1555827.25,1111915.5,1407325.125,1260368.875,1051743,872112.4375,1201857,811386.0625,801782.125,675822.5,905316.125,962247.125,844950.625,750861.875,720635,499066.59375,604459.375
O75694,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,3,3,3,3,141034.03125,146615.0625,129359.7421875,135702.203125,143469.859375,238868.484375,152670.203125,307049.34375,113312.921875,139234.34375,526797.75,484359.75,216694.90625,459863.03125,488298.5,26303.837890625,128415.6484375,412043.84375,745907.3125,260675.078125
O75712,1,1,1,1,1,1,1,1,Filtered,1,1,1,Filtered,1,1,1,1,1,1,1,150883.5625,194228.140625,150616.25,129911.5859375,191691.53125,172205.390625,171034,146404.21875,Filtered,146075.453125,134583.03125,166740.65625,Filtered,162984.640625,140501.375,133410.859375,78424.9921875,122938.1171875,152608.796875,133983.640625
O75717,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,480521.25,471055.46875,907804.4375,719063.5625,704115.4375,1088678.625,850573.125,997485,546871.375,994592.5625,456911.03125,412882.1875,402221.90625,458704.71875,654986.5625,622555.9375,716651.3125,568958.3125,503397.21875,485451.75
O75718,3,2,2,2,3,2,3,3,3,3,2,2,2,3,2,2,2,3,2,2,185690.046875,305100.28125,260141.9375,252506.953125,184665.15625,435832.9375,161061.4375,183405.453125,171877.3125,172637.3125,207241.875,243534.03125,164581.671875,110168.09375,180215.625,198554.59375,257655.828125,109052.15625,235384.125,242490.03125
O75781,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1093059.125,1220273.5,983415.8125,891895.6875,1236339.125,709120.6875,950868.25,917464.3125,563404.3125,857820.8125,2335718.75,2406815,2182973.5,2623718.5,2359485.5,2255335.25,2247394.5,1808451.125,2600311,1869759.375
O75808,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,76713.6953125,146931.21875,83171.8046875,89195.90625,109731.5859375,79358.8359375,68630.265625,59243.18359375,56933.56640625,70486.78125,60324.7890625,190438.65625,184098.328125,170510.5,163776.375,86557.1953125,70919.1953125,90614.2578125,78236.109375,92754.2734375
O75815,2,2,2,3,2,2,2,2,2,3,4,4,3,3,3,4,3,4,3,4,217831.859375,286528.875,243514.78125,181716.953125,237510.34375,234516,220876,159451.671875,148581.609375,138965.171875,306950.90625,319039.625,331042.8125,347442.8125,366669.3125,278585.5,346858,276251.8125,238969.921875,350479.84375
O75820,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,3,1,2,1,3,2,3,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,3810.90185546875,11160.505859375,11196.5322265625,7551.54931640625,2622.02221679688,14164.404296875,3948.03271484375,4657.033203125,7842.849609375,Filtered
O75821,4,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,8958348,9471230,18853832,9204718,15634161,16604888,15135437,18433932,3682913.75,15340310,12426084,11547351,11309595,11384506,12237110,18498574,17214826,9346868,12060368,10125467
O75822,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,212077.453125,278560.75,134615.3125,140253.375,189117.25,102722.8515625,131757.125,139592.734375,253788,146847.65625,109957.5078125,96219.8671875,176820.5,112016.8515625,106304.4765625,111970.7265625,136874.0625,131502.1875,135152.65625,130383.265625
O75832,1,1,1,Filtered,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,72751.2578125,96414.1953125,111844.65625,Filtered,85880.4296875,103700.75,77432.9609375,96636.8671875,88610.546875,92688.2734375,51101.3828125,56811.8671875,53542.4609375,64082.66015625,47791.453125,55389.08203125,76311.1484375,79040.0390625,47368.1875,67723.625
O75844,2,2,2,1,2,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,59893.8203125,88090.0078125,45612.484375,24106.19140625,59249.13671875,26171.9609375,37554.59375,30547.130859375,73454.109375,33768.62890625,310643.96875,318152.5,189245.078125,393551.0625,199487.53125,183373.75,329419.0625,279589.15625,383271.84375,145831.296875
O75864,2,2,3,2,2,3,2,3,2,2,3,2,2,3,2,3,2,3,2,3,702583.625,588158.625,452256.71875,578230.4375,426656.71875,481638.96875,476655.03125,527329.75,479632.71875,594743.375,555367.375,733056.75,752570.875,618565.25,754931.75,522147.78125,616466.1875,560536.5625,668394.5,465280.375
O75874,3,2,3,2,2,2,4,4,4,3,2,2,4,2,2,2,2,2,2,3,85184.328125,108990.6015625,143781.6875,252638.53125,135590.34375,199053.3125,99800.578125,48526.5078125,116727.78125,102454.65625,101265.796875,82878.375,61746.65234375,88597.765625,100450.25,115128.296875,107804.6953125,122260.8359375,95042.6796875,73069.3046875
O75886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,214444.9375,428193.9375,275673.5625,184812.515625,328004.96875,303568.78125,215740.328125,226473.5,198968.421875,225306.671875,227852.671875,329263.1875,182843.15625,215213.6875,181834.40625,150033.234375,173562.4375,195469.53125,236115.6875,228897.640625
O75896,1,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,1,1,1,1,Filtered,Filtered,1,59770.8046875,44892.6328125,102869.453125,172890.4375,72951.0859375,132056.484375,104457.828125,50855.2421875,72644.546875,71743.4453125,38508.90625,Filtered,Filtered,39518.30078125,49143.11328125,56379.86328125,33350.5859375,Filtered,Filtered,56391.16796875
O75907,3,3,2,1,1,3,2,3,2,3,3,3,3,1,1,3,3,3,3,3,233081.296875,194582.015625,212337.4375,151038.453125,152141.046875,286398.125,213574.0625,259049.921875,174686.71875,241505.9375,285762.53125,264456.0625,251632.0625,104098.4296875,100641.1640625,252989.09375,353115.75,235375.296875,316162.375,286766.84375
O75909,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2049724.875,2804651,1793051.25,1841220.25,2653136.5,1820957.625,1724010.75,1692656,1439328,1495018,1443406,2003230.25,1395715.5,1547284.375,1346660.25,1394263.75,1377257.375,1083291,1663067,1358324.25
O75915,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,4,3,4,3,303844.46875,353727.3125,350474.875,269110.84375,414869.40625,463870.625,282403.71875,266266.25,268292.1875,336496.28125,377677.25,361433.71875,238571.953125,339920.28125,355718.5625,326813.15625,274086.9375,332801.125,294730.28125,438302.875
O75925,3,3,3,3,3,4,3,3,3,3,3,4,4,4,3,3,4,4,3,3,871768.4375,1152897.5,855976.625,929231.5625,1275692.125,588882.9375,1000026.875,797678.5625,708294.4375,908980.4375,1271554.625,908277.625,982934.1875,947902.875,1334972.375,1424821.75,935848.4375,941148.875,1429776.625,1271316.625
O75928,Filtered,Filtered,1,Filtered,Filtered,1,1,1,Filtered,Filtered,2,1,2,2,2,2,1,2,1,2,Filtered,Filtered,236575.109375,Filtered,Filtered,269739.9375,229893.484375,198210.03125,Filtered,Filtered,115105.4453125,53476.890625,112450.140625,123912.8515625,139882.546875,122053.421875,53101.3828125,114751.5078125,58235.0078125,101392.65625
O75934,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1,2,80073.984375,72687.171875,161383.921875,127333.2734375,99198.7109375,145689.484375,71834.390625,65500.09375,74678.90625,88196.5546875,52276.48828125,78414.3125,31474.08984375,46086.6796875,60321.984375,90210.3671875,94486.0234375,64805.75,66654.171875,74682.71875
O75935,Filtered,Filtered,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,95292.25,209441.96875,81253.5625,180320.015625,108140.28125,50632.296875,75701.3671875,79391.6640625,88832.515625,129707.7265625,111151.453125,48666.55078125,135194.53125,56814.9765625,93461.0625,148029.5625,59231.796875,126422.2421875
O75937,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,3,95319.21875,115559.0390625,62251.96484375,60892.140625,73370.1796875,60957.2109375,67220.3203125,78247.359375,90516.3046875,59382.296875,69291.4765625,128654.5,73038.59375,83068.3828125,42139.58984375,89047.3203125,80408.890625,57755.3515625,88707.0390625,58823.265625
O75940,2,3,3,3,3,3,3,2,3,2,3,3,3,3,2,2,3,3,4,3,228463.46875,214067.625,211188.15625,200969.59375,209980.125,202793.609375,191710.234375,228683.734375,238375.328125,230064.6875,3472551.5,3464567.25,3481100.5,4046166.5,5162742.5,5216320,2483232.5,3384688.5,1965351.75,3407405.25
O75943,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1,1,1,1,1,1,1,1,1,1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,154616.765625,216120.296875,216463.359375,235530.125,215117.21875,194946.171875,168828.296875,150801.140625,171121.046875,171748.40625
O75947,3,2,2,3,2,2,3,3,3,3,2,3,3,2,3,2,3,2,3,3,113982.7890625,106669.4765625,57661.38671875,83049.2421875,85737.203125,49197.6328125,120126.1328125,127951.90625,270816.65625,91031.515625,55071.7265625,325037.375,126171.6875,80607.421875,350028.96875,124678.328125,51715.80859375,83875.84375,52771.83984375,106230.625
O75955,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,45656.7734375,51032.74609375,60212.96875,75257.4140625,62884.203125,52935.0859375,51457.6328125,36238.8359375,49428.890625,77954.4765625,75128.5078125,144591.1875,76262.9921875,83725.5859375,149893.890625,72299.0859375,63562.79296875,70839.84375,74540.09375,66119.015625
O75962,5,5,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,4,5,5,562570.75,630826.375,424638.25,461981.3125,689304.8125,538060,503611,477305.65625,307478.75,528504.75,1056026.75,1360468.875,1132746.5,1278942.625,1366099.75,1191619.875,1027659.8125,1006751.9375,1240822.5,1137435.5
O75964,1,Filtered,1,1,1,Filtered,1,1,1,1,1,1,1,1,Filtered,Filtered,Filtered,1,Filtered,1,57263.48046875,Filtered,53805.93359375,55617.12890625,41106.09375,Filtered,90850.8828125,99584.0078125,284250.1875,92406.7734375,71003.4921875,86813.3203125,103115.359375,75079.4375,Filtered,Filtered,Filtered,60265.3515625,Filtered,83253.3046875
O75973,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,408041.4375,461545.5,337259.125,309304.21875,572923.375,513830.3125,385384.75,444169.9375,284087.3125,365972.375,164616.265625,209877.40625,146680.3125,218662.984375,171880.125,150193.421875,176392.890625,154283.203125,185913.96875,173300.875
O75976,1,1,2,1,1,Filtered,2,2,1,1,2,1,1,1,2,1,1,1,1,1,88309.7578125,86634.3203125,191148.5,110327.2421875,88742.2421875,Filtered,53153.234375,169602.296875,64419.46875,71975.1875,77692.46875,81055.6328125,67003.859375,72197.0625,90140.546875,88979.9453125,63941.79296875,74676.2890625,62897.0625,63724.0078125
O76003,3,3,1,1,2,Filtered,1,2,3,2,3,1,3,1,1,1,2,1,2,1,76901.9296875,79720.2421875,53390.5078125,59364.9921875,101223.8125,Filtered,83944.40625,48511.9609375,92469.5234375,47732.796875,31674.18359375,9378.8359375,88025.375,56705.25390625,43345.8046875,24098.552734375,37033.6328125,56291.8125,42403.96484375,68852.8671875
O76021,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,17170964,11052346,16012689,17915828,9001761,19157812,11596741,15943270,13325904,15012451,16779046,12155726,16045168,16322384,17794686,19686316,14559770,16997542,13521924,14775764
